Dates,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
"Feb 15",2,0,0,0,0
"Feb 16",2,0,0,0,0
"Feb 17",2,0,0,0,0
"Feb 18",2,0,0,0,0
"Feb 19",2,0,0,0,0
"Feb 20",2,0,0,0,0
"Feb 21",2,0,0,0,0
"Feb 22",2,0,0,0,0
"Feb 23",2,0,0,0,0
"Feb 24",3,1,1,0,0
"Feb 25",9,6,7,0,0
"Feb 26",13,4,11,0,0
"Feb 27",25,12,23,0,0
"Feb 28",33,8,31,0,0
"Feb 29",58,25,56,0,0
"Mar 01",84,26,82,0,0
"Mar 02",120,36,118,0,0
"Mar 03",165,45,162,1,1
"Mar 04",228,63,224,2,1
"Mar 05",282,54,276,3,1
"Mar 06",401,119,387,8,5
"Mar 07",525,124,485,10,2
"Mar 08",674,149,625,17,7
"Mar 09",1231,557,1169,30,13
"Mar 10",1695,464,1524,36,6
"Mar 11",2277,582,2039,55,19
"Mar 12",3146,869,2871,86,31
"Mar 13",5232,2086,4906,133,47
"Mar 14",6391,1159,5678,196,63
"Mar 15",7988,1597,7177,294,98
"Mar 16",9942,1954,9070,342,48
"Mar 17",11826,1884,10265,533,191
"Mar 18",14769,2943,13050,638,105
"Mar 19",18077,3308,16139,831,193
"Mar 20",21571,3494,18890,1093,262
"Mar 21",25496,3925,21990,1381,288
"Mar 22",28768,3272,24421,1772,391
"Mar 23",35136,6368,29470,2311,539
"Mar 24",42058,6922,35273,2991,680
"Mar 25",49515,7457,40501,3647,656
"Mar 26",57786,8271,46406,4365,718
"Mar 27",65719,7933,51224,5138,773
"Mar 28",73235,7516,54968,5982,844
"Mar 29",80110,6875,58598,6803,821
"Mar 30",87956,7846,63460,7716,913
"Mar 31",95923,7967,68200,8464,748
"Apr 01",104118,8195,72084,9387,923
"Apr 02",112065,7947,74974,10348,961
"Apr 03",119199,7134,77488,11198,850
"Apr 04",126168,6969,80002,11947,749
"Apr 05",131646,5478,80925,12641,694
"Apr 06",136675,5029,82897,13341,700
"Apr 07",141942,5267,84689,14045,704
"Apr 08",148220,6278,85407,14792,747
"Apr 09",153222,5002,85610,15447,655
"Apr 10",158273,5051,86524,16081,634
"Apr 11",163027,4754,87312,16606,525
"Apr 12",166831,3804,87231,17209,603
"Apr 13",170099,3268,87616,17756,547
"Apr 14",174060,3961,88301,18255,499
"Apr 15",180659,6599,90994,18812,557
"Apr 16",184948,4289,90836,19315,503

